"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2018","7.0829","7.0166","7.1184","7.0003","17.59M","0.93%"
"12/31/2018","7.0454","7.0790","7.1318","7.0416","5.58M","-0.53%"
"01/02/2019","7.1098","7.0070","7.1232","6.9379","15.28M","0.91%"
"01/03/2019","7.2278","7.0810","7.2701","7.0656","19.75M","1.66%"
"01/04/2019","7.3219","7.2614","7.3910","7.2250","13.57M","1.30%"
"01/07/2019","7.3882","7.3536","7.3978","7.3085","15.48M","0.90%"
"01/08/2019","7.3766","7.4035","7.4400","7.3229","18.07M","-0.16%"
"01/09/2019","7.2259","7.4189","7.4419","7.2259","24.65M","-2.04%"
"01/10/2019","7.3546","7.2240","7.3546","7.2106","12.30M","1.78%"
"01/11/2019","7.3632","7.3421","7.3872","7.3344","9.79M","0.12%"
"01/14/2019","7.3200","7.3219","7.3450","7.2566","12.49M","-0.59%"
"01/15/2019","7.2893","7.3728","7.3891","7.2230","14.35M","-0.42%"
"01/16/2019","7.3133","7.3258","7.3469","7.2518","16.35M","0.33%"
"01/17/2019","7.2643","7.2787","7.3286","7.2365","12.73M","-0.67%"
"01/18/2019","7.3795","7.3123","7.4074","7.2778","17.57M","1.59%"
"01/21/2019","7.3958","7.3622","7.3958","7.3018","10.60M","0.22%"
"01/22/2019","7.3814","7.3920","7.4362","7.3363","20.21M","-0.19%"
"01/23/2019","7.4189","7.3814","7.4861","7.3392","14.99M","0.51%"
"01/24/2019","7.4227","7.4266","7.4794","7.3507","10.64M","0.05%"
"01/25/2019","7.4054","7.4678","7.4717","7.3805","10.53M","-0.23%"
"01/28/2019","7.3747","7.3930","7.4429","7.3450","8.88M","-0.41%"
"01/29/2019","7.3248","7.3882","7.4112","7.3229","12.74M","-0.68%"
"01/30/2019","7.2787","7.3133","7.3306","7.2058","15.98M","-0.63%"
"01/31/2019","7.1952","7.2902","7.3248","7.1482","22.44M","-1.15%"
"02/01/2019","7.2250","7.2115","7.2557","7.1520","18.23M","0.41%"
"02/04/2019","7.1616","7.2336","7.2691","7.1088","13.47M","-0.88%"
"02/05/2019","7.3046","7.1654","7.3046","7.1376","16.08M","2.00%"
